ID,Bezeichner,Geh+AOQ-use,St,Bezeichnung
1,IC1,SOT95P282X145+AC0-5N,1,ME6211C33M5G
2,+ACI-C19,C18,C4,C3+ACI-,C+AF8-0603+AF8-1608Metric+AF8-Pad1.05x0.95mm+AF8-HandSolder,4,1+ALU-
3,JP1,SolderJumper+AC0-2+AF8-P1.3mm+AF8-Open+AF8-Pad1.0x1.5mm,1,SolderJumper+AF8-2+AF8-Open
4,Q1,SOT+AC0-23,1,IRLML6401
5,J1,PinHeader+AF8-2x03+AF8-P2.54mm+AF8-Vertical+AF8-large,1,Conn+AF8-02x03+AF8-Odd+AF8-Even
6,U2,SO+AC0-8+AF8-5.3x6.2mm+AF8-P1.27mm,1,TDA1308
7,U1,TSSOP+AC0-20+AF8-4.4x6.5mm+AF8-P0.65mm,1,PCM5102A
8,+ACI-R15,R14,R13,R11,R10+ACI-,R+AF8-0805+AF8-2012Metric+AF8-Pad1.15x1.40mm+AF8-HandSolder,5,470R
9,+ACI-R12,R5,R3,R2+ACI-,R+AF8-0805+AF8-2012Metric+AF8-Pad1.15x1.40mm+AF8-HandSolder,4,10k
10,+ACI-C17,C16,C14,C12,C2+ACI-,C+AF8-0603+AF8-1608Metric+AF8-Pad1.05x0.95mm+AF8-HandSolder,5,100n
11,+ACI-C15,C13+ACI-,C+AF8-0603+AF8-1608Metric+AF8-Pad1.05x0.95mm+AF8-HandSolder,2,+ACI-2,2+ALU-+ACI-
12,+ACI-C11,C10+ACI-,C+AF8-0603+AF8-1608Metric+AF8-Pad1.05x0.95mm+AF8-HandSolder,2,+ACI-2,2n+ACI-
13,J2,Jack+AF8-3.5mm+AF8-Cliff+AF8-Horizontal,1,AudioJack3+AF8-Dual+AF8-Switch
14,+ACI-H2,H1+ACI-,MountingHole+AF8-3.2mm+AF8-M3,2,MountingHole
15,+ACI-R9,R8,R7,R6+ACI-,R+AF8-0805+AF8-2012Metric+AF8-Pad1.15x1.40mm+AF8-HandSolder,4,+ACI-3,9k+ACI-
16,R4,R+AF8-0805+AF8-2012Metric+AF8-Pad1.15x1.40mm+AF8-HandSolder,1,100k
17,+ACI-C9,C8,C1+ACI-,CP+AF8-Radial+AF8-D6.3mm+AF8-P2.50mm,3,100+ALU-
18,C5,CP+AF8-Radial+AF8-D4.0mm+AF8-P1.50mm,1,22+ALU-
,,,,
1,L1,L+AF8-Bourns+AF8-SRN6045TA+AF8-1,1,INDUCTOR
2,U3,TSSOP+AC0-8+AF8-4.4x3mm+AF8-P0.65mm,1,L6920
3,+ACI-JP3,JP2+ACI-,SolderJumper+AC0-3+AF8-P1.3mm+AF8-Bridged2Bar12+AF8-Pad1.0x1.5mm+AF8-NumberLabels,2,+ACI-3,3 or 5V for DAC+ACI-
4,U1,Lolin+AF8-D32+AF8-PRO,1,LolinD32Pro
5,J3,PinHeader+AF8-1x02+AF8-P2.54mm+AF8-Vertical,1,LS
6,J6,PinHeader+AF8-2x03+AF8-P2.54mm+AF8-Vertical+AF8-large,1,Res+AF8-DAC
7,R1,R+AF8-0805+AF8-2012Metric+AF8-Pad1.15x1.40mm+AF8-HandSolder,1,10k
8,J8,PinHeader+AF8-1x01+AF8-P2.54mm+AF8-Vertical,1,
9,J5,PinHeader+AF8-1x01+AF8-P2.54mm+AF8-Vertical,1,GND
10,C7,C+AF8-1210+AF8-3225Metric+AF8-Pad1.42x2.65mm+AF8-HandSolder,1,ca.1+ALU-
11,+ACI-C6,C4+ACI-,CP+AF8-Radial+AF8-D6.3mm+AF8-P2.50mm,2,47+ALU-
12,+ACI-C5,C1+ACI-,C+AF8-0603+AF8-1608Metric+AF8-Pad1.05x0.95mm+AF8-HandSolder,2,100n
13,JP1,SolderJumper+AC0-3+AF8-P1.3mm+AF8-Bridged2Bar12+AF8-Pad1.0x1.5mm+AF8-NumberLabels,1,+ACI-3,3 or 5V for LED+ACI-
14,+ACI-H4,H3,H2,H1+ACI-,MountingHole+AF8-3.2mm+AF8-M3,4,MountingHole
15,J7,PinHeader+AF8-1x03+AF8-P2.54mm+AF8-Vertical,1,ChargeLED
16,U4,MAX98357A,1,MAX98357A
17,J10,PinHeader+AF8-1x03+AF8-P2.54mm+AF8-Vertical,1,RGB+AF8-LED
18,J4,PinHeader+AF8-1x08+AF8-P2.54mm+AF8-Vertical,1,RC+AC0-522
19,J2,PinHeader+AF8-1x05+AF8-P2.54mm+AF8-Vertical,1,Rotary
20,J1,PinHeader+AF8-1x04+AF8-P2.54mm+AF8-Vertical,1,Keys
21,R2,R+AF8-0805+AF8-2012Metric+AF8-Pad1.15x1.40mm+AF8-HandSolder,1,10K
22,C2,C+AF8-0603+AF8-1608Metric+AF8-Pad1.05x0.95mm+AF8-HandSolder,1,C+AF8-ONT+AF8-22n
23,U2,SOT+AC0-23+AC0-8+AF8-Handsoldering,1,LTC2954+AC0-1
24,R3,R+AF8-0805+AF8-2012Metric+AF8-Pad1.15x1.40mm+AF8-HandSolder,1,1K
25,+ACI-R4,R5+ACI-,R+AF8-0805+AF8-2012Metric+AF8-Pad1.15x1.40mm+AF8-HandSolder,2,100K
26,F1,Fuse+AF8-1206+AF8-3216Metric+AF8-Pad1.42x1.75mm+AF8-HandSolder,1,Polyfuse
27,C3,C+AF8-0603+AF8-1608Metric+AF8-Pad1.05x0.95mm+AF8-HandSolder,1,C+AF8-PDT+AF8-47n
28,Q1,SOT+AC0-23,1,IRLML2502
